W	S	rtl	avg_current	avg_power
8	1.0	3.333e-05	-6.055e-15	-9.364e-16
8	1.17461894309	3.334e-05	-7.109e-15	-1.100e-15
8	1.37972966146	3.336e-05	-8.346e-15	-1.292e-15
8	1.62065659669	3.338e-05	-9.797e-15	-1.518e-15
8	1.90365393872	3.341e-05	-1.150e-14	-1.783e-15
8	2.2360679775	3.344e-05	-1.349e-14	-2.094e-15
8	2.6265278044	3.347e-05	-1.583e-14	-2.459e-15
8	3.0851693136	3.351e-05	-1.858e-14	-2.889e-15
8	3.62389831839	3.356e-05	-2.179e-14	-3.393e-15
8	4.2566996126	3.361e-05	-2.555e-14	-3.985e-15
8	5.0	3.367e-05	-2.996e-14	-4.684e-15
9	1.0	3.332e-05	-6.057e-15	-9.365e-16
9	1.17461894309	3.333e-05	-7.112e-15	-1.100e-15
9	1.37972966146	3.334e-05	-8.350e-15	-1.292e-15
9	1.62065659669	3.337e-05	-9.801e-15	-1.518e-15
9	1.90365393872	3.339e-05	-1.150e-14	-1.783e-15
9	2.2360679775	3.342e-05	-1.350e-14	-2.094e-15
9	2.6265278044	3.344e-05	-1.585e-14	-2.459e-15
9	3.0851693136	3.348e-05	-1.860e-14	-2.889e-15
9	3.62389831839	3.352e-05	-2.181e-14	-3.393e-15
9	4.2566996126	3.357e-05	-2.558e-14	-3.985e-15
9	5.0	3.362e-05	-3.000e-14	-4.681e-15
10	1.0	3.332e-05	-6.056e-15	-9.365e-16
10	1.17461894309	3.333e-05	-7.113e-15	-1.100e-15
10	1.37972966146	3.334e-05	-8.351e-15	-1.292e-15
10	1.62065659669	3.335e-05	-9.806e-15	-1.518e-15
10	1.90365393872	3.338e-05	-1.151e-14	-1.783e-15
10	2.2360679775	3.340e-05	-1.351e-14	-2.094e-15
10	2.6265278044	3.342e-05	-1.586e-14	-2.459e-15
10	3.0851693136	3.346e-05	-1.861e-14	-2.889e-15
10	3.62389831839	3.349e-05	-2.183e-14	-3.393e-15
10	4.2566996126	3.354e-05	-2.561e-14	-3.985e-15
10	5.0	3.359e-05	-3.003e-14	-4.681e-15
11	1.0	3.331e-05	-6.058e-15	-9.365e-16
11	1.17461894309	3.332e-05	-7.114e-15	-1.100e-15
11	1.37972966146	3.333e-05	-8.354e-15	-1.292e-15
11	1.62065659669	3.334e-05	-9.808e-15	-1.518e-15
11	1.90365393872	3.336e-05	-1.151e-14	-1.783e-15
11	2.2360679775	3.338e-05	-1.352e-14	-2.094e-15
11	2.6265278044	3.341e-05	-1.586e-14	-2.459e-15
11	3.0851693136	3.344e-05	-1.862e-14	-2.889e-15
11	3.62389831839	3.347e-05	-2.185e-14	-3.393e-15
11	4.2566996126	3.351e-05	-2.563e-14	-3.986e-15
11	5.0	3.356e-05	-3.006e-14	-4.681e-15
12	1.0	3.331e-05	-6.059e-15	-9.365e-16
12	1.17461894309	3.331e-05	-7.116e-15	-1.100e-15
12	1.37972966146	3.332e-05	-8.356e-15	-1.292e-15
12	1.62065659669	3.334e-05	-9.810e-15	-1.518e-15
12	1.90365393872	3.335e-05	-1.152e-14	-1.783e-15
12	2.2360679775	3.337e-05	-1.352e-14	-2.094e-15
12	2.6265278044	3.339e-05	-1.587e-14	-2.460e-15
12	3.0851693136	3.342e-05	-1.862e-14	-2.889e-15
12	3.62389831839	3.345e-05	-2.186e-14	-3.393e-15
12	4.2566996126	3.349e-05	-2.565e-14	-3.986e-15
12	5.0	3.353e-05	-3.009e-14	-4.681e-15
13	1.0	3.330e-05	-6.060e-15	-9.365e-16
13	1.17461894309	3.330e-05	-7.117e-15	-1.100e-15
13	1.37972966146	3.332e-05	-8.357e-15	-1.292e-15
13	1.62065659669	3.333e-05	-9.813e-15	-1.518e-15
13	1.90365393872	3.335e-05	-1.152e-14	-1.783e-15
13	2.2360679775	3.337e-05	-1.352e-14	-2.094e-15
13	2.6265278044	3.338e-05	-1.588e-14	-2.459e-15
13	3.0851693136	3.341e-05	-1.864e-14	-2.889e-15
13	3.62389831839	3.344e-05	-2.187e-14	-3.393e-15
13	4.2566996126	3.347e-05	-2.567e-14	-3.986e-15
13	5.0	3.351e-05	-3.011e-14	-4.681e-15
14	1.0	3.330e-05	-6.060e-15	-9.364e-16
14	1.17461894309	3.331e-05	-7.116e-15	-1.100e-15
14	1.37972966146	3.332e-05	-8.357e-15	-1.292e-15
14	1.62065659669	3.333e-05	-9.811e-15	-1.518e-15
14	1.90365393872	3.335e-05	-1.152e-14	-1.783e-15
14	2.2360679775	3.336e-05	-1.353e-14	-2.094e-15
14	2.6265278044	3.338e-05	-1.588e-14	-2.459e-15
14	3.0851693136	3.340e-05	-1.864e-14	-2.889e-15
14	3.62389831839	3.343e-05	-2.187e-14	-3.393e-15
14	4.2566996126	3.346e-05	-2.567e-14	-3.985e-15
14	5.0	3.349e-05	-3.012e-14	-4.681e-15
15	1.0	3.328e-05	-6.063e-15	-9.365e-16
15	1.17461894309	3.330e-05	-7.119e-15	-1.100e-15
15	1.37972966146	3.331e-05	-8.360e-15	-1.292e-15
15	1.62065659669	3.331e-05	-9.818e-15	-1.518e-15
15	1.90365393872	3.333e-05	-1.153e-14	-1.783e-15
15	2.2360679775	3.334e-05	-1.353e-14	-2.094e-15
15	2.6265278044	3.336e-05	-1.589e-14	-2.460e-15
15	3.0851693136	3.338e-05	-1.865e-14	-2.889e-15
15	3.62389831839	3.340e-05	-2.189e-14	-3.393e-15
15	4.2566996126	3.343e-05	-2.569e-14	-3.986e-15
15	5.0	3.347e-05	-3.015e-14	-4.682e-15
16	1.0	3.329e-05	-6.062e-15	-9.365e-16
16	1.17461894309	3.329e-05	-7.120e-15	-1.100e-15
16	1.37972966146	3.330e-05	-8.361e-15	-1.292e-15
16	1.62065659669	3.332e-05	-9.816e-15	-1.518e-15
16	1.90365393872	3.333e-05	-1.153e-14	-1.783e-15
16	2.2360679775	3.334e-05	-1.353e-14	-2.094e-15
16	2.6265278044	3.336e-05	-1.589e-14	-2.460e-15
16	3.0851693136	3.338e-05	-1.865e-14	-2.889e-15
16	3.62389831839	3.340e-05	-2.189e-14	-3.393e-15
16	4.2566996126	3.343e-05	-2.570e-14	-3.986e-15
16	5.0	3.346e-05	-3.016e-14	-4.682e-15
